Date,Close/Last,Volume,Open,High,Low
11/06/2020,81.34,10091580,81.11,81.70,80.76
11/05/2020,81.26,12159320,80.47,81.79,80.42
11/04/2020,79.39,23229810,79.56,81.19,78.87
11/03/2020,80.22,16357460,78.98,80.669,78.80
11/02/2020,77.92,14166820,77.00,78.065,76.44
10/30/2020,75.87,15379780,75.56,76.18,74.72
10/29/2020,75.96,14272860,74.82,76.61,74.64
10/28/2020,74.87,17321950,75.83,76.68,74.7825
10/27/2020,77.41,8736126,78.91,79.00,77.39
10/26/2020,79.14,10692830,80.10,80.19,78.28
10/23/2020,81.17,8038326,81.27,81.52,80.55
10/22/2020,80.85,6878189,80.37,80.99,80.12
10/21/2020,80.19,8009008,80.71,81.38,80.19
10/20/2020,81.01,9806977,81.01,82.04,80.82
10/19/2020,80.59,8530955,81.66,82.125,80.285
10/16/2020,81.60,9422372,81.51,82.10,81.39
10/15/2020,81.01,12063850,79.85,81.045,79.72
10/14/2020,80.72,10052450,80.40,81.33,80.39
10/13/2020,80.27,11004600,80.60,81.09,80.03
10/12/2020,81.17,8662235,81.07,81.455,80.83
10/09/2020,80.71,12603930,80.91,81.26,80.46
10/08/2020,80.41,16341780,80.15,80.415,79.44
10/07/2020,79.62,10050060,78.82,79.855,78.79
10/06/2020,77.90,12587440,79.19,79.715,77.82
10/05/2020,78.86,8880823,78.27,79.025,78.27
10/02/2020,77.61,17895630,75.50,78.055,75.47
10/01/2020,76.75,14045460,77.52,77.87,76.21
09/30/2020,76.98,12184970,77.48,78.39,76.41
09/29/2020,77.18,10633050,77.73,78.05,76.96
09/28/2020,77.87,7409620,77.45,78.49,77.45
09/25/2020,76.49,7346850,74.90,76.75,74.90
09/24/2020,75.36,12111130,75.13,76.205,74.35
09/23/2020,75.25,16388810,76.78,77.59,75.165
09/22/2020,76.62,7512454,75.84,76.77,75.77
09/21/2020,75.87,23188120,77.06,77.23,75.1128
09/18/2020,78.78,13359050,79.92,80.22,78.72
09/17/2020,79.67,19265680,78.37,80.16,78.01
09/16/2020,79.51,10298420,79.33,80.305,78.89
09/15/2020,78.71,13583740,78.98,79.175,78.58
09/14/2020,78.66,9641860,78.34,78.91,77.97
09/11/2020,77.61,16124450,76.86,77.98,76.80
09/10/2020,76.57,16547280,77.82,78.06,76.33
09/09/2020,77.56,16222080,77.08,78.20,76.88
09/08/2020,76.38,14914010,77.31,77.40,76.17
09/04/2020,77.84,21632420,78.35,78.875,76.81
09/03/2020,77.66,19995090,79.96,80.26,77.16
09/02/2020,79.90,15333580,78.88,80.12,78.66
09/01/2020,78.60,14432260,77.56,78.665,77.28
08/31/2020,77.81,9908268,78.57,78.86,77.81
08/28/2020,78.79,10323990,78.32,78.83,77.95
08/27/2020,78.05,10260070,78.21,78.71,77.79
08/26/2020,77.77,6538934,77.58,78.04,77.20
08/25/2020,77.73,12076140,78.36,78.36,77.32
08/24/2020,77.83,10171440,76.96,77.83,76.61
08/21/2020,76.45,7113646,76.07,76.66,76.02
08/20/2020,76.14,10529480,75.95,76.32,75.705
08/19/2020,76.55,6297947,76.84,77.24,76.38
08/18/2020,76.75,5145531,77.12,77.36,76.64
08/17/2020,77.17,5898815,77.68,77.84,77.025
08/14/2020,77.53,5909652,76.84,77.92,76.72
08/13/2020,77.23,13298770,77.22,77.75,76.93
08/12/2020,77.64,12587380,78.12,78.21,77.34
08/11/2020,77.39,17263670,78.06,78.67,77.23
08/10/2020,76.98,15627250,75.40,77.05,75.36
08/07/2020,75.13,12952120,73.82,75.16,73.71
08/06/2020,73.87,5880586,73.50,73.88,73.40
08/05/2020,73.59,8522262,72.70,73.68,72.61
08/04/2020,72.21,6560913,71.77,72.245,71.75
08/03/2020,72.03,12736980,71.82,72.28,71.3675
07/31/2020,71.73,9836277,71.71,71.88,70.525
07/30/2020,72.00,9118700,72.22,72.41,71.475
07/29/2020,72.73,6935404,72.01,72.885,71.96
07/28/2020,71.64,5964528,71.80,72.24,71.585
07/27/2020,72.14,6198394,71.82,72.24,71.40
07/24/2020,71.84,10061440,72.31,72.71,71.63
07/23/2020,72.42,7537995,72.55,73.09,72.135
07/22/2020,72.64,7620158,71.78,72.74,71.76
07/21/2020,72.06,9345028,71.76,72.58,71.63
07/20/2020,71.12,9404591,71.59,71.76,70.91
07/17/2020,72.00,8605427,71.89,72.15,71.52
07/16/2020,71.57,13017250,71.22,71.92,70.89
07/15/2020,71.55,15472380,71.06,71.87,70.66
07/14/2020,69.77,12689530,68.05,69.85,67.77
07/13/2020,68.29,14570110,68.60,69.46,67.93
07/10/2020,68.01,9255405,67.08,68.07,67.08
07/09/2020,67.14,16782930,68.51,68.59,66.92
07/08/2020,68.63,8576514,68.60,69.06,68.05
07/07/2020,68.63,6111978,69.29,69.59,68.55
07/06/2020,69.97,10815520,70.05,70.34,69.4587
07/02/2020,68.98,8280163,69.49,69.995,68.81
07/01/2020,68.39,9789179,69.38,69.935,68.325
06/30/2020,68.70,8868517,67.79,69.09,67.59
06/29/2020,68.31,10864780,67.12,68.31,66.69
06/26/2020,66.14,21429910,67.12,67.37,65.85
06/25/2020,67.39,11623660,66.21,67.45,65.63
06/24/2020,66.65,16922790,68.11,68.34,66.48
06/23/2020,69.05,8849797,69.74,69.83,68.88
06/22/2020,69.04,7931957,68.51,69.26,67.94
06/19/2020,69.23,15601470,71.13,71.21,68.755
06/18/2020,70.09,8632812,69.69,70.72,69.55
06/17/2020,70.35,9448239,71.02,71.155,70.18
06/16/2020,70.86,20564170,72.41,72.49,69.59
06/15/2020,69.50,18116390,66.63,69.93,66.36
06/12/2020,68.82,29161890,69.95,70.14,67.14
06/11/2020,67.51,26054820,69.52,70.09,67.41
06/10/2020,72.61,16694250,74.04,74.14,72.38
06/09/2020,74.39,15074730,74.90,75.00,74.061
06/08/2020,76.29,18906200,75.75,76.53,75.72
06/05/2020,74.79,19564240,75.16,76.21,74.49
06/04/2020,72.14,17880620,71.22,72.17,71.04
06/03/2020,71.38,16253340,69.70,71.57,69.67
06/02/2020,68.70,10852740,68.33,68.88,68.04
06/01/2020,67.82,12921170,67.60,68.335,67.34
05/29/2020,67.67,18881500,67.46,68.13,66.75
05/28/2020,68.09,17490480,69.43,69.65,67.97
05/27/2020,68.74,21918460,67.96,68.79,67.29
05/26/2020,66.52,14907990,65.85,67.03,65.82
05/22/2020,63.84,7113025,64.01,64.06,63.27
05/21/2020,63.89,7682314,63.75,64.40,63.41
05/20/2020,63.74,8644016,63.56,64.35,63.47
05/19/2020,62.57,12447790,63.26,63.865,62.56
05/18/2020,63.38,22117650,61.82,63.78,61.65
05/15/2020,59.46,17398240,58.97,59.83,58.70
05/14/2020,59.67,14221430,58.18,59.67,56.97
05/13/2020,59.05,15434460,60.21,60.28,58.50
05/12/2020,60.57,12328990,62.47,62.71,60.56
05/11/2020,62.32,8407655,62.48,62.80,61.89
05/08/2020,63.11,8661556,62.33,63.24,62.3145
05/07/2020,61.58,8144529,61.69,62.37,61.34
05/06/2020,60.87,7048130,62.06,62.11,60.79
05/05/2020,61.72,8691228,62.05,62.56,61.65
05/04/2020,61.48,8551719,61.39,61.49,60.60
05/01/2020,62.27,9019235,63.08,63.25,61.855
04/30/2020,64.21,14309960,64.60,64.72,63.735
04/29/2020,65.51,12757420,65.57,66.22,64.92
04/28/2020,64.28,9938791,64.34,65.01,63.61
04/27/2020,63.10,9323242,62.00,63.49,61.88
04/24/2020,61.57,7139275,61.61,61.78,60.58
04/23/2020,61.08,14256490,61.07,62.35,61.055
04/22/2020,60.60,9184950,61.14,61.30,60.23
04/21/2020,59.97,9553361,60.09,60.77,59.73
04/20/2020,61.42,10475110,61.90,62.64,61.22
04/17/2020,63.10,18372540,62.33,63.31,62.11
04/16/2020,60.27,16117650,60.72,60.74,59.365
04/15/2020,60.81,12758390,61.17,61.29,59.79
04/14/2020,62.54,15293750,62.72,63.18,61.92
04/13/2020,61.37,11086610,62.82,62.86,60.795
04/09/2020,63.22,21132450,63.47,64.33,62.65
04/08/2020,62.28,11986740,60.93,62.62,60.43
04/07/2020,60.10,18390970,62.50,63.19,60.06
04/06/2020,60.24,19306720,58.88,60.59,58.81
04/03/2020,56.34,15912380,56.94,57.525,55.72
04/02/2020,57.10,23895130,55.85,57.87,55.63
04/01/2020,56.35,16057430,56.38,57.06,55.54
03/31/2020,59.01,12884420,59.25,60.25,58.76
03/30/2020,59.75,15759040,58.92,60.04,57.98
03/27/2020,58.89,22486660,59.13,61.5668,57.97
03/26/2020,61.48,22110200,58.93,61.83,58.41
03/25/2020,57.83,27752990,55.99,60.05,54.64
03/24/2020,54.94,29349660,51.74,55.12,51.61
03/23/2020,48.77,34346560,50.83,50.83,47.71
03/20/2020,51.40,22341670,54.51,55.16,51.18
03/19/2020,54.11,16868080,53.40,54.96,51.29
03/18/2020,54.07,26018890,54.30,54.99,50.36
03/17/2020,58.37,24962190,56.68,58.67,54.61
03/16/2020,55.80,18656360,56.22,59.89,55.57
03/13/2020,62.94,18660280,61.83,62.99,58.59
03/12/2020,58.38,23659800,59.59,63.00,54.10
03/11/2020,65.12,28414930,67.04,67.65,64.40
03/10/2020,69.18,18385690,68.04,69.23,65.35
03/09/2020,65.77,24792490,66.70,68.35,65.085
03/06/2020,72.45,40681430,70.66,72.74,70.45
03/05/2020,73.09,28762270,74.67,75.22,72.77
03/04/2020,76.85,32387760,74.96,76.95,74.26
03/03/2020,73.80,53823950,75.85,77.53,73.35
03/02/2020,75.65,44798850,73.95,75.83,72.59
02/28/2020,73.08,79119620,72.17,73.67,71.30
02/27/2020,74.44,42597280,75.79,77.40,74.39
02/26/2020,77.31,32619780,78.39,79.39,77.14
02/25/2020,77.90,33000780,81.38,81.62,77.69
02/24/2020,81.21,18010140,81.21,81.72,80.71
02/21/2020,83.59,13184750,83.56,83.84,83.21
02/20/2020,84.01,9518717,83.98,84.59,83.40
02/19/2020,84.13,4638710,84.33,84.57,84.09
02/18/2020,84.16,10399660,84.29,84.5264,83.765
02/14/2020,84.64,5319331,84.73,84.89,84.30
02/13/2020,84.75,8231457,84.79,85.11,84.46
02/12/2020,85.23,7808960,84.90,85.325,84.695
02/11/2020,84.44,6291531,84.55,84.84,84.23
02/10/2020,84.12,8074222,83.52,84.14,83.42
02/07/2020,83.65,12394520,83.94,84.15,83.58
02/06/2020,84.26,8627569,84.33,84.40,83.72
02/05/2020,83.99,12835800,83.54,84.00,83.11
02/04/2020,82.61,13597200,82.32,82.81,82.24
02/03/2020,81.08,15676590,81.55,82.23,80.99
01/31/2020,81.11,19083570,82.58,82.70,80.801
01/30/2020,83.03,13158160,82.14,83.12,81.97
01/29/2020,82.94,10355150,83.33,83.57,82.853
01/28/2020,82.50,14918250,82.24,82.91,81.86
01/27/2020,81.97,15013840,82.06,82.52,81.97
01/24/2020,83.55,13402180,84.10,84.17,82.93
01/23/2020,83.94,10758540,82.93,84.05,82.631
01/22/2020,83.04,7490548,83.71,83.90,82.98
